"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"MHL","Georgi Larshin","DY+2","45161/georgi-larshin","F","2022","59","0.3898","0.2373","0.6780","8","15","6","23","4","10","11","14","1","2","0","0","0.00","0","0.00","98","13.27","13","40","57","0.9661","32.43","50","26","65.79","26.81","46","72","20.73","1.9621","2001-09-16","21.00","21.29","23","MHK-KSM","5'10","L","2020","-","-","-",""
"USHL","Dalton Norris","DY+2","45193/dalton-norris","D","2022","62","0.2419","0.4355","0.6774","7","8","7","15","19","8","5","27","0","0","0","0","0.00","0","0.00","149","17.45","26","42","54","0.8710","61.90","49","46","51.58","1.83","100","101","21.89","1.8569","2001-09-28","20.96","21.26","14","LIN","5'10","L","2020","-","-","-",""
"NCAA","Liam Walsh","DY+5","41953/liam-walsh","F","2022","34","0.5000","0.1765","0.6765","6","11","3","17","4","2","1","6","0","0","0","0","0.00","0","0.00","65","15.38","10","23","27","0.7941","43.48","0","0","0.00","0.00","0","0","0.00","0.0000","1999-07-14","23.17","23.46","","MER","6'00","L","2017","-","-","-",""
"QMJHL","Brady Burns","DY+2","45586/brady-burns","F","2022","68","0.5588","0.1176","0.6765","22","16","14","38","5","3","3","8","0","0","0","0","0.00","0","0.00","197","13.71","27","46","63","0.9265","58.70","84","43","66.14","6.06","146","97","17.07","2.3778","2002-05-27","20.30","20.59","12","SNB","5'09","L","2020","-","-","-",""
"WHL","Caedan Bankier","DY+1","46189/caedan-bankier","F","2022","68","0.3824","0.2206","0.6765","10","16","12","26","9","6","2","15","2","3","0","0","0.00","0","0.00","193","10.88","21","46","60","0.8824","46.34","69","50","57.98","- 5.61","138","79","16.15","2.5138","2003-01-26","19.64","19.93","19","KAM","6'02","L","2021","MIN (2021) - #86","MIN","MIN",""
"Finland U20","Eero Klintrup","DY+1","46691/eero-klintrup","F","2022","34","0.4412","0.2353","0.6765","10","5","5","15","5","3","3","8","0","0","0","0","0.00","0","0.00","77","19.48","15","23","31","0.9118","65.22","22","11","66.67","10.14","52","40","16.93","2.3970","2002-10-12","19.93","20.22","18","KAR","5'09","L","2021","-","-","-",""
"NCAA","Thomas Bordeleau","DY+2","45326/thomas-bordeleau","F","2022","37","0.5135","0.1351","0.6757","9","10","7","19","2","3","5","5","1","0","0","0","0.00","0","0.00","88","13.64","12","25","37","1.0000","45.83","0","0","0.00","0.00","0","0","0.00","0.0000","2002-01-03","20.70","20.99","","MIC","5'11","L","2020","SJS (2020) - #38","SJS","SJS",""
"NCAA","Scott Morrow","DY+1","47435/scott-morrow","D","2022","37","0.4324","0.2432","0.6757","10","6","4","16","3","6","4","9","0","0","0","0","0.00","0","0.00","92","14.13","13","25","33","0.8919","52.00","0","0","0.00","0.00","0","0","0.00","0.0000","2002-11-01","19.87","20.17","","UMA","6'02","R","2021","CAR (2021) - #40","CAR","CAR",""
"Czechia U20","Maxim Kubanek","DY+2","53772/maxim-kubanek","F","2022","37","0.5676","0.0541","0.6757","10","11","5","21","1","1","1","2","2","0","0","0","0.00","0","0.00","0","0.00","13","25","31","0.8378","47.83","38","23","62.30","- 10.51","83","31","15.15","2.6752","2002-02-11","20.59","20.89","7","SPA","6'01","L","2020","-","-","-",""
"Allsvenskan","Sam Vigneault","DY+9","34080/sam-vigneault","F","2022","46","0.4565","0.2174","0.6739","9","12","8","21","5","5","2","10","0","0","0","60","15.00","18","27.78","80","17.50","14","31","41","0.8913","45.16","48","34","58.54","6.36","72","66","18.95","2.1338","1995-09-07","27.02","27.32","25","MODO","6'05","L","2013","-","-","-",""
"SHL","Pontus Holmberg","DY+5","41137/pontus-holmberg","F","2022","46","0.4565","0.2174","0.6739","9","12","5","21","2","8","5","10","0","0","0","66","13.64","13","15.38","79","13.92","11","31","41","0.8913","35.48","31","26","54.39","7.56","59","67","18.30","2.2096","1999-03-09","23.52","23.81","29","VAX","5'11","L","2017","TOR (2018) - #156","TOR","TOR",""
"Czechia U20","Michal Simon","DY+2","49852/michal-simon","F","2022","49","0.4286","0.1837","0.6735","15","6","1","21","7","2","0","9","2","1","0","0","0.00","0","0.00","0","0.00","24","33","34","0.6939","73.33","39","22","63.93","- 4.15","96","45","15.40","2.6245","2002-05-25","20.31","20.60","8","MBL","5'10","R","2020","-","-","-",""
"OHL","Coulson Pitre","DY-1","52139/coulson-pitre","F","2022","52","0.6346","0.0192","0.6731","23","10","6","33","0","1","3","1","0","1","0","0","0.00","0","0.00","135","17.04","23","35","44","0.8462","67.65","55","44","55.56","2.26","105","92","16.76","2.4090","2004-12-13","17.76","18.05","11","FLNT","6'00","R","2023","-","-","-",""
"MHL","Vadim Fattakhov","DY","54376/vadim-fattakhov","F","2022","58","0.4138","0.2414","0.6724","17","7","6","24","6","8","9","14","0","1","0","0","0.00","0","0.00","192","11.98","23","39","54","0.9310","60.53","41","25","62.12","16.08","64","75","18.37","2.1959","2003-10-20","18.90","19.20","66","MHK-SM","5'06","R","2022","-","-","-",""
"MHL","Artyom Misnikov","DY+1","54381/artyom-misnikov","F","2022","61","0.4098","0.2623","0.6721","13","12","7","25","10","6","8","16","0","0","0","0","0.00","0","0.00","138","16.67","23","41","56","0.9180","56.10","57","24","70.37","16.52","63","54","18.43","2.1880","2003-03-11","19.51","19.81","17","NOV","5'09","R","2021","-","-","-",""
"USHL","Bret Link","DY+2","55299/bret-link","F","2022","61","0.4918","0.1311","0.6721","13","17","6","30","4","4","3","8","3","0","0","0","0.00","0","0.00","141","14.18","20","41","50","0.8197","44.74","43","47","47.78","- 3.29","96","92","17.68","2.2807","2002-04-09","20.43","20.73","10","FGO","6'02","R","2020","-","-","-",""
"WHL","Mathew Ward","DY","47166/mathew-ward","F","2022","64","0.3281","0.2969","0.6719","11","10","11","21","10","9","4","19","1","2","0","0","0.00","0","0.00","149","14.77","22","43","58","0.9062","52.50","43","56","43.43","1.19","79","108","16.22","2.4847","2004-01-24","18.64","18.94","10","SC","5'08","L","2022","-","-","-",""
"QMJHL","Jeremy Lapointe","DY+2","45993/jeremy-lapointe","F","2022","67","0.3284","0.2985","0.6716","16","6","3","22","15","5","1","20","2","1","0","0","0.00","0","0.00","213","15.49","33","45","49","0.7313","73.81","43","62","40.95","- 5.57","107","123","18.86","2.1363","2002-09-02","20.04","20.33","24","DRU","6'02","L","2020","-","-","-",""
"WHL","Fraser Minten","DY","48326/fraser-minten","F","2022","67","0.4328","0.2239","0.6716","9","20","5","29","10","5","5","15","1","0","0","0","0.00","0","0.00","212","9.43","20","45","55","0.8209","43.18","53","30","63.86","2.41","153","96","14.00","2.8789","2004-07-05","18.19","18.49","16","KAM","6'01","L","2022","-","-","-",""
"WHL","Ryan Hofer","DY+2","51442/ryan-hofer","F","2022","67","0.5075","0.1642","0.6716","20","14","8","34","5","6","5","11","0","0","0","0","0.00","0","0.00","250","10.00","25","45","58","0.8657","55.56","68","38","64.15","4.44","126","85","15.59","2.5842","2002-05-10","20.35","20.64","15","EVT","6'03","L","2020","-","-","-",""
"Allsvenskan","Jimmy Andersson","DY+15","21997/jimmy-andersson","F","2022","12","0.5000","0.1667","0.6667","4","2","1","6","2","0","0","2","0","0","0","21","19.05","14","14.29","35","17.14","6","8","9","0.7500","75.00","11","9","55.00","16.22","19","30","18.03","2.2181","1989-08-29","33.04","33.34","84","VIT","5'09","L","2007","-","-","-",""
"SHL","Juhani Tyrvainen","DY+14","23980/juhani-tyrvainen","F","2022","36","0.4444","0.2222","0.6667","6","10","3","16","5","3","3","8","0","0","0","36","16.67","9","55.56","49","22.45","11","24","30","0.8333","45.83","29","17","63.04","5.57","50","37","19.17","2.0870","1990-09-11","32.01","32.31","21","LHF","5'11","L","2008","-","-","-",""
"Liiga","Henrik Haapala","DY+10","30795/henrik-haapala","F","2022","9","0.1111","0.5556","0.6667","1","0","0","1","2","3","0","5","0","0","0","0","0.00","0","0.00","14","21.43","3","6","6","0.6667","50.00","2","4","33.33","- 28.21","16","10","16.42","2.4365","1994-02-28","28.54","28.84","52","ILV","5'09","L","2012","-","-","-",""
"AHL","Vinni Lettieri","DY+9","32711/vinni-lettieri","F","2022","24","0.3750","0.2083","0.6667","5","4","1","9","2","3","5","5","1","1","0","0","0.00","0","0.00","79","10.13","8","16","22","0.9167","50.00","17","17","50.00","8.90","30","43","20.56","1.9454","1995-02-06","27.61","27.90","19","SD","5'11","R","2013","-","-","ANA",""
"Liiga","Eemeli Suomi","DY+8","34430/eemeli-suomi","F","2022","54","0.4444","0.2222","0.6667","14","10","10","24","5","7","3","12","0","0","0","0","0.00","0","0.00","120","15.83","19","36","49","0.9074","52.78","45","41","52.33","0.47","84","78","19.55","2.0461","1995-12-04","26.78","27.08","10","ILV","5'10","L","2014","-","-","-",""
"NCAA","Chris Dodero","DY+8","35722/chris-dodero","F","2022","36","0.3056","0.3056","0.6667","6","5","4","11","5","6","1","11","2","0","0","0","0.00","0","0.00","68","19.12","13","24","29","0.8056","50.00","0","0","0.00","0.00","0","0","0.00","0.0000","1996-06-08","26.27","26.56","","AIC","5'09","L","2014","-","-","-",""
"NCAA","Dalton Messina","DY+6","39305/dalton-messina","F","2022","3","0.6667","0.0000","0.6667","0","2","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","4","0.00","0","2","2","0.6667","0.00","0","0","0.00","0.00","0","0","0.00","0.0000","1998-03-29","24.46","24.76","","OSU","5'11","L","2016","-","-","-",""
"Sweden U20","Kim Johansson","DY+6","39578/kim-johansson","D","2022","3","0.3333","0.3333","0.6667","0","1","1","1","1","0","0","1","0","0","0","0","0.00","0","0.00","0","0.00","1","2","3","1.0000","50.00","2","1","66.67","6.67","3","2","24.05","1.6634","1998-05-05","24.36","24.66","59","LHF","5'11","L","2016","-","-","-",""
"Sweden U20","Filip Lennstrom","DY+6","39692/filip-lennstrom","F","2022","3","0.3333","0.3333","0.6667","1","0","0","1","1","0","1","1","0","0","0","0","0.00","0","0.00","0","0.00","2","2","3","1.0000","100.00","4","0","100.00","40.00","9","6","17.54","2.2799","1998-05-22","24.31","24.61","42","MIK","6'00","R","2016","-","-","-",""
"Allsvenskan","Adam Hirsch","DY+6","39783/adam-hirsch","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","0","0","0","0","0","3","33.33","0","0.00","3","33.33","1","2","2","0.6667","50.00","2","1","66.67","11.11","5","4","11.90","3.3613","1998-06-06","24.28","24.57","16","HV71","5'09","L","2016","-","-","-",""
"AHL","Nick Perbix","DY+6","39848/nick-perbix","D","2022","12","0.3333","0.3333","0.6667","2","2","0","4","0","4","0","4","0","0","0","0","0.00","0","0.00","25","8.00","2","8","8","0.6667","25.00","9","9","50.00","- 16.67","22","11","21.28","1.8798","1998-06-15","24.25","24.54","6","SYR","6'04","R","2016","TBL (2017) - #169","TBL","TBL",""
"NCAA","Matt Brown","DY+5","42087/matthew-brown","F","2022","24","0.4167","0.2500","0.6667","5","5","1","10","2","4","0","6","0","0","0","0","0.00","0","0.00","65","10.77","7","16","17","0.7083","43.75","0","0","0.00","0.00","0","0","0.00","0.0000","1999-08-09","23.10","23.39","","BU","5'09","L","2017","-","-","-",""
"AHL","Cedric Desruisseaux","DY+4","42996/cedric-desruisseaux","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","4","25.00","1","2","2","0.6667","50.00","2","1","66.67","33.33","4","8","12.02","3.3272","2000-03-03","22.53","22.83","49","LAV","5'08","L","2018","-","-","-",""
"Finland U20","Juuso Fagerstrom","DY+3","44277/juuso-fagerstrom","F","2022","42","0.5476","0.1190","0.6667","10","13","7","23","4","1","1","5","0","0","1","0","0.00","0","0.00","92","15.22","14","28","37","0.8810","50.00","43","28","60.56","- 1.04","77","48","16.50","2.4235","2001-01-06","21.69","21.99","25","JUK","5'09","L","2019","-","-","-",""
"Finland U20","Eric Hjorth","DY+3","44285/eric-hjorth","D","2022","3","0.3333","0.3333","0.6667","0","1","2","1","0","1","1","1","0","0","0","0","0.00","0","0.00","7","0.00","0","2","5","1.6667","0.00","5","3","62.50","29.17","4","8","19.52","2.0495","2001-01-08","21.69","21.98","41","KAL","6'03","R","2019","CBJ (2019) - #104","CBJ","CBJ",""
"Allsvenskan","Oscar Bjerselius","DY+3","44471/oscar-bjerselius","F","2022","6","0.6667","0.0000","0.6667","2","2","0","4","0","0","0","0","0","0","0","9","22.22","2","0.00","11","18.18","2","4","4","0.6667","50.00","5","4","55.56","20.26","6","11","17.83","2.2430","2001-02-18","21.58","21.87","22","AIS","6'00","L","2019","-","-","-",""
"NCAA","Massimo Rizzo","DY+3","44920/massimo-rizzo","F","2022","39","0.4615","0.2051","0.6667","9","9","8","18","3","5","2","8","0","0","0","0","0.00","0","0.00","101","11.88","12","26","36","0.9231","46.15","0","0","0.00","0.00","0","0","0.00","0.0000","2001-06-13","21.26","21.55","","DEN","5'10","L","2019","CAR (2019) - #216","CAR","CAR",""
"MHL","Takhir Mingachyov","DY+3","45069/takhir-mingachyov","F","2022","9","0.5556","0.1111","0.6667","2","3","2","5","0","1","1","1","0","0","0","0","0.00","0","0.00","17","11.76","2","6","9","1.0000","33.33","8","7","53.33","- 10.00","19","11","18.61","2.1497","2001-07-31","21.13","21.42","63","KAM","6'02","L","2019","-","-","-",""
"Finland U20","Alexander Forslund","DY+3","45156/alexander-forslund","F","2022","12","0.5000","0.1667","0.6667","2","4","3","6","1","1","4","2","0","0","0","0","0.00","0","0.00","15","20.00","3","8","15","1.2500","37.50","13","6","68.42","9.45","23","16","19.55","2.0459","2001-09-13","21.01","21.30","12","PEL","5'11","L","2019","-","-","-",""
"Sweden U20","Isak Garfve","DY+2","45426/isak-garfve","F","2022","9","0.4444","0.2222","0.6667","2","2","3","4","1","1","2","2","0","0","0","0","0.00","0","0.00","0","0.00","3","6","11","1.2222","50.00","9","6","60.00","- 5.52","19","10","17.54","2.2799","2002-02-14","20.59","20.88","59","MIK","6'03","R","2020","-","-","-",""
"WHL","Jack Finley","DY+2","45683/jack-finley","F","2022","60","0.4333","0.2167","0.6667","18","8","4","26","8","5","3","13","1","0","2","0","0.00","0","0.00","149","18.12","27","40","49","0.8167","66.67","42","41","50.60","- 10.16","127","82","14.84","2.6958","2002-09-02","20.04","20.33","26","WPG/SPO","6'06","R","2020","TBL (2020) - #57","TBL","TBL",""
"USHL","John Waldron","DY+1","45729/john-waldron","F","2022","51","0.5294","0.1373","0.6667","12","15","4","27","3","4","6","7","0","0","0","0","0.00","0","0.00","156","9.62","15","34","44","0.8627","44.12","33","43","43.42","- 2.19","78","93","18.29","2.1865","2002-11-13","19.84","20.13","12","WAT","6'01","R","2021","-","-","-",""
"Finland U20","Riku Tuomola","DY+1","45740/riku-tuomola","D","2022","30","0.4333","0.2333","0.6667","9","4","5","13","0","7","2","7","0","0","0","0","0.00","0","0.00","63","14.29","9","20","27","0.9000","45.00","39","26","60.00","15.17","39","48","23.38","1.7109","2002-11-25","19.81","20.10","52","KOO","5'11","L","2021","-","-","-",""
"AHL","Mason McTavish","DY+1","46008/mason-mctavish","F","2022","3","0.3333","0.3333","0.6667","0","1","0","1","1","0","0","1","0","0","0","0","0.00","0","0.00","7","14.29","1","2","2","0.6667","50.00","3","2","60.00","4.44","5","4","18.03","2.2180","2003-01-30","19.63","19.92","37","SD","6'01","L","2021","ANA (2021) - #3","ANA","ANA",""
"Sweden U20","Jeremias Lindewall","DY+2","46236/jeremias-lindewall","F","2022","6","0.6667","0.0000","0.6667","3","1","0","4","0","0","1","0","0","0","0","0","0.00","0","0.00","0","0.00","3","4","5","0.8333","75.00","8","4","66.67","5.56","11","7","15.82","2.5284","2002-01-02","20.70","21.00","44","MODO","6'02","L","2020","EDM (2020) - #200","EDM","EDM",""
"Sweden U20","Mans Forsfjall","DY+2","46279/mans-forsfjall","D","2022","9","0.3333","0.3333","0.6667","3","0","1","3","0","3","2","3","0","0","0","0","0.00","0","0.00","0","0.00","3","6","9","1.0000","50.00","8","5","61.54","- 5.13","16","8","20.56","1.9451","2002-07-30","20.13","20.42","5","SKE","6'00","L","2020","-","-","-",""
"QMJHL","Matej Kaslik","DY+2","46318/matej-kaslik","F","2022","60","0.4667","0.1333","0.6667","17","11","12","28","6","2","6","8","3","1","0","0","0.00","0","0.00","169","15.38","26","40","58","0.9667","63.89","63","56","52.94","11.37","74","104","20.95","1.9091","2002-08-05","20.11","20.41","11","CHI","5'10","L","2020","-","-","-",""
"Sweden U20","Wiktor Nilsson","DY+2","46351/wiktor-nilsson","F","2022","33","0.3636","0.2727","0.6667","5","7","8","12","6","3","6","9","1","0","0","0","0.00","0","0.00","0","0.00","12","22","36","1.0909","52.38","34","23","59.65","- 5.57","75","40","17.76","2.2522","2002-01-20","20.65","20.95","62","DIF","6'00","R","2020","-","-","-",""
"NCAA","Ryan Kirwan","DY+2","46426/ryan-kirwan","F","2022","36","0.5833","0.0833","0.6667","11","10","1","21","2","1","1","3","0","0","0","0","0.00","0","0.00","152","8.55","13","24","26","0.7222","54.17","0","0","0.00","0.00","0","0","0.00","0.0000","2002-02-27","20.55","20.84","","PSU","6'02","L","2020","-","-","-",""
"Finland U20","Aki-Petteri Antti-Roiko","DY+3","46628/aki-petteri-antti-roiko","F","2022","6","0.3333","0.3333","0.6667","1","1","0","2","1","1","1","2","0","0","0","0","0.00","0","0.00","14","14.29","2","4","5","0.8333","50.00","8","6","57.14","29.37","5","13","19.64","2.0370","2001-08-17","21.08","21.37","23","ROKI/HERM","5'10","L","2019","-","-","-",""
"Slovakia U20","Samuel Krajc","DY+2","46673/samuel-krajc","F","2022","3","0.6667","0.0000","0.6667","2","0","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","23","8.70","2","2","2","0.6667","100.00","8","1","88.89","3.17","6","1","24.03","1.6648","2002-02-06","20.61","20.90","26","TRE","6'02","R","2020","-","-","-",""
"MHL","Kirill Kirsanov","DY+1","46728/kirill-kirsanov","D","2022","3","0.6667","0.0000","0.6667","1","1","1","2","0","0","0","0","0","0","0","0","0.00","0","0.00","4","25.00","1","2","3","1.0000","50.00","6","3","66.67","- 22.22","8","1","22.24","1.7987","2002-09-19","19.99","20.28","92","SKA-SP","6'01","L","2021","LAK (2021) - #84","LAK","LAK",""
"MHL","Ivan Podshivalov","DY+2","46778/ivan-podshivalov","F","2022","51","0.2549","0.3333","0.6667","9","4","2","13","9","8","2","17","1","3","0","0","0.00","0","0.00","126","15.08","19","34","38","0.7451","60.00","29","20","59.18","1.76","89","66","18.77","2.1310","2002-02-18","20.58","20.87","66","ALM","5'11","L","2020","-","-","-",""
"Sweden U20","Marcus Almquist","DY+1","47184/marcus-almquist","F","2022","9","0.5556","0.1111","0.6667","2","3","1","5","1","0","2","1","0","0","0","0","0.00","0","0.00","0","0.00","3","6","9","1.0000","50.00","10","8","55.56","2.22","16","14","18.64","2.1463","2003-09-13","19.01","19.30","19","HV71","5'07","R","2021","-","-","-",""
"MHL","Semyon Terekhov","DY+2","47708/semyon-terekhov","F","2022","15","0.4667","0.2000","0.6667","5","2","3","7","1","2","1","3","0","0","0","0","0.00","0","0.00","46","13.04","6","10","14","0.9333","60.00","16","5","76.19","5.46","29","12","17.66","2.2651","2002-01-28","20.63","20.93","59","KAZ","6'02","L","2020","-","-","-",""
"Czechia U20","Matej Tomajko","DY+2","49877/matej-tomajko","F","2022","18","0.5000","0.1667","0.6667","6","3","1","9","1","2","0","3","0","0","0","0","0.00","0","0.00","0","0.00","7","12","13","0.7222","58.33","17","13","56.67","11.84","26","32","15.92","2.5123","2002-05-09","20.35","20.64","15","OLO","5'09","L","2020","-","-","-",""
"Sweden U20","Karl Umegard","DY+1","50491/karl-umegard","F","2022","45","0.4889","0.1556","0.6667","11","11","11","22","4","3","1","7","1","0","0","0","0.00","0","0.00","0","0.00","16","30","42","0.9333","51.72","46","24","65.71","18.49","68","76","17.17","2.3300","2003-09-02","19.04","19.33","64","MODO","5'09","L","2021","-","-","-",""
"Finland U20","Jussi Malmi","DY+2","51406/jussi-malmi","F","2022","39","0.4359","0.2308","0.6667","12","5","6","17","0","9","6","9","0","0","0","0","0.00","0","0.00","91","13.19","12","26","38","0.9744","46.15","36","39","48.00","5.04","58","77","18.33","2.1824","2002-05-22","20.31","20.61","16","SPO","6'03","L","2020","-","-","-",""
"USHL","Joey Muldowney","DY","52169/joey-muldowney","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","3","33.33","1","2","2","0.6667","50.00","2","5","28.57","1.30","3","8","16.39","2.4406","2004-06-05","18.28","18.57","42","DM","5'11","L","2022","-","-","-",""
"Czechia U20","David Cernik","DY","53993/david-cernik","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","1","0","0","0","0","0","0.00","0","0.00","0","0.00","1","2","3","1.0000","50.00","2","4","33.33","3.33","3","7","18.77","2.1316","2004-07-29","18.13","18.42","8","SAL","5'09","L","2022","-","-","-",""
"Finland U20","Jiro Frilander","DY","54278/jiro-frilander","F","2022","3","0.3333","0.3333","0.6667","1","0","0","1","0","1","0","1","0","0","0","0","0.00","0","0.00","7","14.29","1","2","2","0.6667","50.00","2","4","33.33","- 21.21","6","5","13.51","2.9608","2004-08-28","18.05","18.34","85","JUK","6'01","L","2022","-","-","-",""
"Finland U20","Patrik Saira","DY+1","54283/patrik-saira","F","2022","12","0.3333","0.2500","0.6667","2","2","0","4","2","1","1","3","0","1","0","0","0.00","0","0.00","20","20.00","4","8","9","0.7500","57.14","7","12","36.84","0.30","19","33","15.33","2.6098","2003-07-01","19.21","19.50","20","TPS/KESCh","6'00","L","2021","-","-","-",""
"MHL","Mikhail Kurkin","DY+2","54385/mikhail-kurkin","F","2022","60","0.3667","0.2667","0.6667","11","11","5","22","12","4","5","16","2","0","0","0","0.00","0","0.00","183","13.66","25","40","50","0.8333","60.53","45","31","59.21","8.58","80","78","17.98","2.2246","2002-02-21","20.57","20.86","98","LOKO76","5'10","L","2020","-","-","-",""
"MHL","Alexander Agapov","DY+2","54429/alexander-agapov","F","2022","33","0.3939","0.2424","0.6667","7","6","1","13","5","3","2","8","1","0","0","0","0.00","0","0.00","97","13.40","13","22","25","0.7576","57.14","24","20","54.55","- 0.63","48","39","18.47","2.1661","2002-02-13","20.59","20.88","13","ALM","5'10","R","2020","-","-","-",""
"Slovakia U20","Andrej Kiss","DY+3","55637/andrej-kiss","F","2022","33","0.4848","0.1212","0.6667","7","9","9","16","4","0","4","4","2","0","0","0","0.00","0","0.00","85","15.29","13","22","35","1.0606","55.00","35","11","76.09","8.76","68","33","15.03","2.6613","2001-05-20","21.32","21.61","24","KOS","6'00","L","2019","-","-","-",""
"Slovakia U20","Patrik Sleziak","DY+3","55641/patrik-sleziak","F","2022","36","0.3611","0.2500","0.6667","8","5","2","13","8","1","3","9","1","1","0","0","0.00","0","0.00","113","15.04","17","24","29","0.8056","72.73","25","27","48.08","17.72","34","78","14.43","2.7721","2001-02-07","21.61","21.90","29","MHA","6'01","L","2019","-","-","-",""
"USHL","Justin Stupka","DY-1","56302/justin-stupka","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","6","16.67","1","2","2","0.6667","50.00","2","1","66.67","6.67","9","6","12.36","3.2372","2005-03-15","17.50","17.79","13","YNG","6'02","R","2023","-","-","-",""
"USHL","Teddy Townsend","DY-1","56403/teddy-townsend","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","3","33.33","1","2","2","0.6667","50.00","2","4","33.33","- 7.84","7","10","14.29","2.7995","2005-09-02","17.04","17.33","52","USA","5'10","L","2023","-","-","-",""
"Czechia U20","Samuel Stejskal","DY-1","56545/samuel-stejskal","F","2022","3","0.6667","0.0000","0.6667","2","0","1","2","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","2","2","3","1.0000","100.00","4","3","57.14","21.43","5","9","14.00","2.8580","2005-09-06","17.03","17.32","19","CHM","5'10","L","2023","-","-","-",""
"Czechia U20","Jakub Bednarik (05)","DY-1","56570/jakub-bednarik","F","2022","3","0.3333","0.3333","0.6667","1","0","0","1","1","0","0","1","0","0","0","0","0.00","0","0.00","0","0.00","2","2","2","0.6667","100.00","2","1","66.67","21.21","5","6","17.12","2.3362","2005-07-14","17.17","17.46","29","LIT","6'01","L","2023","-","-","-",""
"Czechia U20","Daniel Svozil","DY-1","56594/daniel-svozil","F","2022","3","0.6667","0.0000","0.6667","1","1","0","2","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","1","2","2","0.6667","50.00","4","1","80.00","30.00","4","4","20.26","1.9742","2005-02-15","17.58","17.88","91","HAV","6'01","L","2023","-","-","-",""
"WHL","Clay Hanus","DY+3","44633/clay-hanus","D","2022","68","0.3971","0.2353","0.6618","15","12","15","27","3","13","13","16","0","2","0","0","0.00","0","0.00","188","9.57","18","45","73","1.0735","41.86","88","52","62.86","3.14","126","85","19.78","2.0078","2001-03-25","21.47","21.77","58","POR","5'10","L","2019","-","-","-",""
"QMJHL","William Dumoulin","DY+1","50261/william-dumoulin","F","2022","65","0.3692","0.2769","0.6615","10","14","6","24","13","5","4","18","1","0","0","0","0.00","0","0.00","152","15.79","24","43","53","0.8154","54.76","49","50","49.49","- 4.43","110","94","18.13","2.1898","2002-11-27","19.80","20.09","90","RIM","5'11","R","2021","-","-","-",""
"WHL","Riley Heidt","DY-1","51483/riley-heidt","F","2022","65","0.4769","0.1846","0.6615","17","14","7","31","4","8","6","12","0","0","0","0","0.00","0","0.00","139","15.11","21","43","56","0.8615","48.84","53","69","43.44","- 0.24","76","98","16.99","2.3368","2005-03-25","17.47","17.77","27","PG","5'11","L","2023","-","-","-",""
"QMJHL","Xavier Fortin","DY+2","45417/xavier-fortin","F","2022","59","0.4746","0.1864","0.6610","20","8","3","28","7","4","10","11","0","0","0","0","0.00","0","0.00","177","15.25","27","39","52","0.8814","69.23","40","64","38.46","- 11.01","93","95","18.52","2.1413","2002-02-07","20.61","20.90","11","BAC","5'10","L","2020","-","-","-",""
"OHL","Chase Stillman","DY+1","46018/chase-stillman","F","2022","59","0.3729","0.2373","0.6610","10","12","8","22","10","4","2","14","0","3","0","0","0.00","0","0.00","142","14.08","20","39","49","0.8305","55.56","42","58","42.00","- 8.48","105","103","18.41","2.1546","2003-03-19","19.49","19.78","21","SBY/PBO","6'01","R","2021","NJD (2021) - #29","NJD","NJD",""
"MHL","Semyon Rubtsov","DY+1","50614/semyon-rubtsov","F","2022","53","0.5094","0.1321","0.6604","19","8","3","27","6","1","2","7","0","1","0","0","0.00","0","0.00","101","24.75","25","35","40","0.7547","73.53","41","18","69.49","7.30","102","62","12.86","3.0804","2003-06-18","19.24","19.54","69","TUFA","6'00","R","2021","-","-","-",""
"AHL","Nathan Walker","DY+10","30612/nathan-walker","F","2022","47","0.3404","0.2766","0.6596","8","8","9","16","10","3","4","13","1","1","0","0","0.00","0","0.00","134","14.18","19","31","44","0.9362","62.07","32","23","58.18","6.77","73","69","18.05","2.1920","1994-02-07","28.61","28.90","12","SPR","5'08","L","2012","WSH (2014) - #89","WSH","STL",""
